Date,Client,Request,Result
2023-05-15 20:14:47,CN=Client,OU=ST9,O=Insegus,L=Sevilla,ST=Andalucia,C=ES,"{"camas":"33","mesas":"35","sabanas":"22","sillas":"55","sillones":"25","signature":"OXw75m6RjTDA5ZUf+NlUo3Eo6pnoFyzJLepYbHOcRwPSGHtbl89JTfviKR2WX76HArJOEUF4Z91dxur4Y93VoUV9tU4F1kUGbP1WB5MQ3ZjZWPWEgTwEfqQkeEOSkJLpI45RbxuwoQy91jURehCrKiZIkuIMMYfm6Fxlu9\/+NdUf+Ve1uW9nxjweDiLJHy3rHSD6siJ9LVKh5fEYiUYzyIdGsYFLd4RI3GexILs+\/cBxv5DNtkjhgspHgj7bE+S6JBgHFFJUi4kfiqv06uy5Lx1zxwtHU6j9QmVTU7bPZFoxBosOIMzE\/zrYfAiLEiDYQZTIIdPnY0li8tOX+Hijzw=="}",Petición INCORRECTA
2023-05-15 20:16:21,CN=Client,OU=ST9,O=Insegus,L=Sevilla,ST=Andalucia,C=ES,"{"sabanas":"22","signature":"QekFjjFA35KgLBLTBRaTPGrdK6doCmr5hjO9\/0ZCHZGghTqKQSVjo9f4AIPwJVonV2AEfVGn4+kmxpSn8L04FrG24ULsAwWtohg4qRewRxpDxI8elyLMv505WS2ItlZGtIMe6vVrtYlM6GJDMa25cosKytHoPH9N51vQVLtXKDLSM7P0Ym\/Vk5M6Nx\/xhKqth+3lZVC6xvZJ2bjxjAcQZ15zrZ1St5tjg\/m\/6xYqrH7B90Zl47DYl0wWzbbQQlq8ERpgE2697m\/1+2cLwi1zKvCDc+LQz4fVBBRxk0LcoiWaNqAHV3nGc0F5Qe7GqvnEEWM0bvMBrv\/r8\/KJtjhayg=="}",Petición OK
2023-05-15 20:16:42,CN=Client,OU=ST9,O=Insegus,L=Sevilla,ST=Andalucia,C=ES,"{"camas":"33","mesas":"44","sabanas":"22","signature":"KGP5LaxL2NZ5d0Zf4XvQfkMvrk7say1NY3MiI+57qe9XISQTbN81TdSvlzFJPpKUxJ5tNbz1Oi6SFuqpLNnrMoc4oYKobIRpd4Y+HNjgPuSRJSVpEtfvvGHa++xHxXyJZWvp+ph+7UB8ifS4aygrdKXNqEVDjFzZbwx2UaUXG448nb\/eVgRthgjhD7K4tcWCY6JEhgscKhNbznK4xusGO9FIwUt1Q8ZorEDkNk1SCcrBP2ss\/3IMQVymmEXDq2DHMC98IIMXHptVm6wmP3ZwVPR4qQ8OfM8jXEbgpIxgxG54w\/Rr2TpESt\/e1L8+b73HKdwUtpTiE2WHX\/FTAq0PHA=="}",Petición OK
2023-05-15 20:16:56,CN=Client,OU=ST9,O=Insegus,L=Sevilla,ST=Andalucia,C=ES,"{"camas":"33","mesas":"44","sabanas":"22","sillas":"55","sillones":"88","signature":"r4cuxdF0idtK5yGEfyJ5X7OTo6dgNBDun\/OCAuLuK3uMWZnBuBUvTE2ft\/I6M8+zyJKkbQrXGPVdNgBMPVqdtUMwbF0GvLD+anzUOaW52JqUz6T0MY3bJ4O5oR1M41fhZAALgHvV3LAJvC1A23124JkO2Ftgaha1yZeW3Pa5hyMyDbZiWqknG7yjAFtFcP44t2enlDMwZYREwLEY4ude+xTcOSFZ4mEaty4RnH+ZnZO\/KSc8+XMUEsnMuJYUoIut8++Yy8Oaz3EldsRc6YJjyWnwPEM9sBoaMXYP53n4PxLhu37M5Thu+q6bGfMxmSqr9xPBBetd4OKzqiQ1WFBy6A=="}",Petición INCORRECTA
2023-05-15 20:19:27,CN=Client,OU=ST9,O=Insegus,L=Sevilla,ST=Andalucia,C=ES,"{"camas":"33","mesas":"44","sabanas":"22","sillas":"55","sillones":"88","signature":"r4cuxdF0idtK5yGEfyJ5X7OTo6dgNBDun\/OCAuLuK3uMWZnBuBUvTE2ft\/I6M8+zyJKkbQrXGPVdNgBMPVqdtUMwbF0GvLD+anzUOaW52JqUz6T0MY3bJ4O5oR1M41fhZAALgHvV3LAJvC1A23124JkO2Ftgaha1yZeW3Pa5hyMyDbZiWqknG7yjAFtFcP44t2enlDMwZYREwLEY4ude+xTcOSFZ4mEaty4RnH+ZnZO\/KSc8+XMUEsnMuJYUoIut8++Yy8Oaz3EldsRc6YJjyWnwPEM9sBoaMXYP53n4PxLhu37M5Thu+q6bGfMxmSqr9xPBBetd4OKzqiQ1WFBy6A=="}",Petición INCORRECTA
2023-05-15 20:19:33,CN=Client,OU=ST9,O=Insegus,L=Sevilla,ST=Andalucia,C=ES,"{"camas":"33","mesas":"44","sabanas":"22","sillas":"55","signature":"onwNghWIqAsNZVFWV8zXSuVfzDKrvzUvnaDvdgHORiyd8ikq\/iH6yo9xYPLQhRTQZWq0S7W8tJtK8ZjK\/NmgVLGE53vTRmqdzbPGE1MnOKKIAKyiunsdzgyGhVRpS6HzgisFqDVg2O+Wv6lfFAAvvlO\/TrL9bpvtmNM4WxTemE5ZETXNz56qdlSQ53ZP04zdQ9kfjsh9JZ8BCAvlRlyRjIyzYc43S\/0olS3ELUuyVcf1lEgGCNte\/4lsicQmResN95bjW\/TotxF0BAEAsS0HUIuS5KTdIEOo5aSD0rgba4ekv2VOLXWHHa\/PWcO\/6JDQzv4Gv6ow8e6v68ByabyIUg=="}",Petición OK
2023-05-15 20:19:43,CN=Client,OU=ST9,O=Insegus,L=Sevilla,ST=Andalucia,C=ES,"{"sillones":"88","signature":"NUmhlpDl0ixqlyc\/x0jkrIb9JnnszJlZYeojeZ4nzXhR9tiiPbOLa4RW9Nt3WDRM6Z6RnqqKUdjKnRQn3YoF0I5YjD0XoHRiKRis0mAxs0evNsIZiTcsiy2uipitiDaLtL3CI5Y3EIiPKymkvnef8JqrRBg6w7fqK6K8T9y58x9YegFZlGKrVxxmFbgBYusoZVLy8wC30wOArOCQVfdNV4f76Rthw4skG0cHOpZaGVeHSeH7RiT30nMP+a5kWPUpsw6v+cnNYdW\/2zZF3u9kHijUWYQKZSrKTL2fFIeoDpkSlq0CEYJwASVPuR43e+OdpFx4n4qrW7kWZd5zfeYlXA=="}",Petición OK
2023-05-15 20:20:02,CN=Client,OU=ST9,O=Insegus,L=Sevilla,ST=Andalucia,C=ES,"{"mesas":"44","sillas":"55","sillones":"88","signature":"YQvfUXOOQXtHmaNYmnJRqsyGtL7LdEEDz+8bJMaTieFeGX7YssJecC5XNVd7C8JREi2CUlDkpQB9AQqJ06jgfOKlOJl1W4QjFGai+6FyDDSEzepdWr9ALLvRxW+BYA0dWnRlH2vfhJPe66X\/fQENGawJL8MMmFC8kMhKlPXSiUQASAideHLQNTQRphz+0HNTi4zWUFwFJuGYnLr+QUL4giW2opFfQX+olZ0Er9tZYciQvTHQrEJ2u9Yd7fn5MbNNlrTl\/feW722Trfk2Z6+mkiTP28U0B6Tok4rbsCnK3SBBUhxAqGs3nnEzblL2C47slIYDIrw\/80AvT8o5bvQqHw=="}",Petición INCORRECTA
2023-05-15 20:20:20,CN=Client,OU=ST9,O=Insegus,L=Sevilla,ST=Andalucia,C=ES,"{"sabanas":"22","signature":"QekFjjFA35KgLBLTBRaTPGrdK6doCmr5hjO9\/0ZCHZGghTqKQSVjo9f4AIPwJVonV2AEfVGn4+kmxpSn8L04FrG24ULsAwWtohg4qRewRxpDxI8elyLMv505WS2ItlZGtIMe6vVrtYlM6GJDMa25cosKytHoPH9N51vQVLtXKDLSM7P0Ym\/Vk5M6Nx\/xhKqth+3lZVC6xvZJ2bjxjAcQZ15zrZ1St5tjg\/m\/6xYqrH7B90Zl47DYl0wWzbbQQlq8ERpgE2697m\/1+2cLwi1zKvCDc+LQz4fVBBRxk0LcoiWaNqAHV3nGc0F5Qe7GqvnEEWM0bvMBrv\/r8\/KJtjhayg=="}",Petición OK
2023-05-15 20:20:26,CN=Client,OU=ST9,O=Insegus,L=Sevilla,ST=Andalucia,C=ES,"{"camas":"33","signature":"SXzexCI\/+NCKPgyyPSYUsACA26iDeW271qRxNhJlYfG0iHfS4SgR3e1EH5KM2zQR0Onrk1JszzwUJ4a3cpwpmHFOshE\/W+hatwaJUBUaet0ByCHaPpEbRWKhq\/29j1IwDzxMkW5anp+f7mJ\/+Euwd6IX7oTi\/wbjbRcMH9ZO\/YPnFZsD7txd\/CvVazsfoBiSzx2EAle2DLyKCwEx2FtUoVtp\/v8dnUAMLL3e9UpfRZBjdZZhdprbe0viNZkVc3i6ConTXy6hMGwRQGzk9gaxDw1VM9i7bJeu4rALuF2Ul5LGWyyOoQKL8g4vqjtd0HqbVmsqeV5WHL44VRLH9bH3pg=="}",Petición OK
